Funktionsname,Component,Components
WebRequest.Send,WebHook,WebHook
WebRequest.SetTag,WebHook,WebHook
WebRequest.URLComponents,WebHook,WebHook
WebView.Evaluate,Webview,Webview
WebView.GetAutoResizingMask,Webview,Webview
WebView.SetAutoResizingMask,Webview,Webview
Window.ClearTouchBar,Window,"Window, TouchBar"
Window.ConfigureToolbarMenu,Toolbar,"Toolbar, Window"
Window.GetToolbarConfiguration,Toolbar,"Toolbar, Window"
Window.GetToolbarCustomizationPaletteIsRunning,Toolbar,"Toolbar, Window"
Window.GetToolbarVisible,Toolbar,"Toolbar, Window"
Window.RunToolbarCustomizationPalette,Toolbar,"Toolbar, Window"
Window.SetShowsToolbarButton,Toolbar,"Toolbar, Window"
Window.SetToolbarConfiguration,Toolbar,"Toolbar, Window"
Window.SetToolbarDisplayMode,Toolbar,"Toolbar, Window"
Window.SetToolbarStyle,Toolbar,"Toolbar, Window"
Window.SetToolbarVisible,Toolbar,"Toolbar, Window"
Window.ShowsToolbarButton,Toolbar,"Toolbar, Window"
WindowsUserNotification.Available,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.GetFileName,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.GetImagePath,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.GetScriptName,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.GetText,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.HideNotification,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.Initialize,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.Isinitialized,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.NewNotification,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.Release,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.SetFileName,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.SetImagePath,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.SetScriptName,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.SetText,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.Setting,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.ShowNotification,WindowsUserNotification,"WindowsUserNotification, UserNotification"
WindowsUserNotification.XMLUsed,WindowsUserNotification,"WindowsUserNotification, UserNotification"
X509.Description,Certificates,Certificates
X509.Duplicate,Certificates,Certificates
X509.IssuerName,Certificates,Certificates
X509.List,Certificates,Certificates
X509.Name,Certificates,Certificates
X509.Read,Certificates,Certificates
X509.ReadFromContainer,Certificates,Certificates
X509.ReadFromFile,Certificates,Certificates
X509.Release,Certificates,Certificates
X509.ReleaseAll,Certificates,Certificates
X509.SerialNumber,Certificates,Certificates
X509.ShowDialog,Certificates,Certificates
X509.SubjectName,Certificates,Certificates
X509.ValidNotAfter,Certificates,Certificates
X509.ValidNotBefore,Certificates,Certificates
X509.Version,Certificates,Certificates
X509.Write,Certificates,Certificates
ZipFile.CRCFile,Compression,Compression
ZipFile.Close,Compression,Compression
ZipFile.CompressFiles,Compression,Compression
ZipFile.CreateFile,Compression,Compression
ZipFile.Open,Compression,Compression
ZipFile.SetCompressionLevel,Compression,Compression
ZipFile.UsePassword,Compression,Compression
ZipFile.WriteContainer,Compression,Compression
ZipFile.WriteFile,Compression,Compression
ZipFile.WriteHex,Compression,Compression
ZipFile.WriteText,Compression,Compression
